room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
4897143,1430,22931450,Shared room,,San Francisco,,North Beach,93,4.5,4,1.0,,147.0,,2017-07-10 23:43:52.770793,37.799263,-122.404322,0101000020E610000069C36169E0995EC091F3FE3F4EE64240
4670847,1430,22931450,Shared room,,San Francisco,,North Beach,115,4.5,4,1.0,,137.0,,2017-07-10 23:43:51.999819,37.79892,-122.404085,0101000020E610000077F35487DC995EC0670FB40243E64240
6750199,1430,25714209,Shared room,,San Francisco,,Downtown/Civic Center,4,5.0,2,1.0,,145.0,,2017-07-10 23:43:43.764972,37.785847,-122.416518,0101000020E6100000800C1D3BA89A5EC071546EA296E44240
11461771,1430,9744251,Shared room,,San Francisco,,Downtown/Civic Center,8,4.0,14,1.0,,138.0,,2017-07-10 23:43:42.484023,37.782079,-122.421775,0101000020E61000004ED1915CFE9A5EC0B7F1272A1BE44240
259622,1430,329072,Shared room,,San Francisco,,Financial District,125,4.5,4,1.0,,90.0,,2017-07-10 23:43:39.841547,37.79441,-122.404725,0101000020E6100000E9B7AF03E7995EC0C4CE143AAFE54240
785901,1430,329072,Shared room,,San Francisco,,Financial District,78,4.5,4,1.0,,90.0,,2017-07-10 23:43:39.837427,37.793125,-122.404429,0101000020E610000074232C2AE2995EC0EC51B81E85E54240
786506,1430,329072,Shared room,,San Francisco,,Financial District,83,4.5,4,1.0,,90.0,,2017-07-10 23:43:39.832141,37.792597,-122.403395,0101000020E6100000AD174339D1995EC030F488D173E54240
7343277,1430,22931450,Shared room,,San Francisco,,North Beach,47,5.0,4,1.0,,95.0,,2017-07-10 23:43:39.824773,37.79909,-122.406315,0101000020E6100000F437A110019A5EC0C347C49448E64240
7067087,1430,22931450,Shared room,,San Francisco,,North Beach,59,4.5,4,1.0,,90.0,,2017-07-10 23:43:38.469156,37.799257,-122.404764,0101000020E610000048A643A7E7995EC0AE0CAA0D4EE64240
7067681,1430,22931450,Shared room,,San Francisco,,North Beach,83,4.5,4,1.0,,90.0,,2017-07-10 23:43:38.463195,37.79845,-122.404776,0101000020E61000002A8D98D9E7995EC0E0BE0E9C33E64240
4902365,1430,22931450,Shared room,,San Francisco,,North Beach,87,4.5,4,1.0,,90.0,,2017-07-10 23:43:38.459472,37.799333,-122.406286,0101000020E6100000A6B4FE96009A5EC089CE328B50E64240
12857222,1430,329072,Shared room,,San Francisco,,Financial District,26,4.5,4,1.0,,90.0,,2017-07-10 23:43:38.456816,37.793044,-122.403238,0101000020E610000049A0C1A6CE995EC0FF243E7782E54240
4518031,1430,22931450,Shared room,,San Francisco,,North Beach,158,4.5,4,1.0,,90.0,,2017-07-10 23:43:38.449611,37.799382,-122.405487,0101000020E610000000FDBE7FF3995EC06B813D2652E64240
1711403,1430,1110789,Shared room,,San Francisco,,Western Addition,90,5.0,4,1.0,,95.0,,2017-07-10 23:43:38.444126,37.782553,-122.443936,0101000020E610000017618A72699C5EC07F315BB22AE44240
